,id,source,datetime,payload,Lat,Lon,Depth,DetB,DetBb
46,position&bloom,EdgeFussion,2021-08-01 00:46:00,"{'Lat': 9.200000000000001, 'Lon': -49.72609476841367, 'Depth': -15.877852522924723, 'DetB': 0, 'DetBb': 0}",9.200000000000001,-49.72609476841367,-15.877852522924723,0,0
47,position&bloom,EdgeFussion,2021-08-01 00:47:00,"{'Lat': 9.4, 'Lon': -48.90738003669028, 'Depth': -19.510565162951544, 'DetB': 0, 'DetBb': 0}",9.4,-48.90738003669028,-19.510565162951544,0,0
48,position&bloom,EdgeFussion,2021-08-01 00:48:00,"{'Lat': 9.600000000000001, 'Lon': -47.55282581475768, 'Depth': -19.51056516295154, 'DetB': 0, 'DetBb': 0}",9.600000000000001,-47.55282581475768,-19.51056516295154,0,0
49,position&bloom,EdgeFussion,2021-08-01 00:49:00,"{'Lat': 9.8, 'Lon': -45.677272882130055, 'Depth': -15.87785252292477, 'DetB': 0, 'DetBb': 0}",9.8,-45.677272882130055,-15.87785252292477,0,0
50,position&bloom,EdgeFussion,2021-08-01 00:50:00,"{'Lat': 10.0, 'Lon': -43.30127018922193, 'Depth': -10.000000000000012, 'DetB': 0, 'DetBb': 0}",10.0,-43.30127018922193,-10.000000000000012,0,0
51,position&bloom,EdgeFussion,2021-08-01 00:51:00,"{'Lat': 10.200000000000001, 'Lon': -40.45084971874738, 'Depth': -4.122147477075307, 'DetB': 0, 'DetBb': 0}",10.200000000000001,-40.45084971874738,-4.122147477075307,0,0
52,position&bloom,EdgeFussion,2021-08-01 00:52:00,"{'Lat': 10.4, 'Lon': -37.1572412738697, 'Depth': -0.48943483704846713, 'DetB': 0, 'DetBb': 0}",10.4,-37.1572412738697,-0.48943483704846713,0,0
53,position&bloom,EdgeFussion,2021-08-01 00:53:00,"{'Lat': 10.600000000000001, 'Lon': -33.45653031794291, 'Depth': -0.4894348370484707, 'DetB': 0, 'DetBb': 0}",10.600000000000001,-33.45653031794291,-0.4894348370484707,0,0
54,position&bloom,EdgeFussion,2021-08-01 00:54:00,"{'Lat': 10.8, 'Lon': -29.389262614623668, 'Depth': -4.1221474770752575, 'DetB': 0, 'DetBb': 0}",10.8,-29.389262614623668,-4.1221474770752575,0,0
55,position&bloom,EdgeFussion,2021-08-01 00:55:00,"{'Lat': 11.0, 'Lon': -24.999999999999982, 'Depth': -10.000000000000021, 'DetB': 0, 'DetBb': 0}",11.0,-24.999999999999982,-10.000000000000021,0,0
56,position&bloom,EdgeFussion,2021-08-01 00:56:00,"{'Lat': 11.200000000000001, 'Lon': -20.336832153790006, 'Depth': -15.87785252292472, 'DetB': 0, 'DetBb': 0}",11.200000000000001,-20.336832153790006,-15.87785252292472,0,0
57,position&bloom,EdgeFussion,2021-08-01 00:57:00,"{'Lat': 11.4, 'Lon': -15.450849718747381, 'Depth': -19.510565162951522, 'DetB': 0, 'DetBb': 0}",11.4,-15.450849718747381,-19.510565162951522,0,0
58,position&bloom,EdgeFussion,2021-08-01 00:58:00,"{'Lat': 11.600000000000001, 'Lon': -10.395584540887949, 'Depth': -19.51056516295154, 'DetB': 0, 'DetBb': 0}",11.600000000000001,-10.395584540887949,-19.51056516295154,0,0
59,position&bloom,EdgeFussion,2021-08-01 00:59:00,"{'Lat': 11.8, 'Lon': -5.2264231633826705, 'Depth': -15.877852522924771, 'DetB': 0, 'DetBb': 0}",11.8,-5.2264231633826705,-15.877852522924771,0,0
60,position&bloom,EdgeFussion,2021-08-01 01:00:00,"{'Lat': 12.0, 'Lon': 0.0, 'Depth': -10.0, 'DetB': 0, 'DetBb': 0}",12.0,0.0,-10.0,0,0
61,position&bloom,EdgeFussion,2021-08-01 01:01:00,"{'Lat': 12.200000000000001, 'Lon': 5.226423163382673, 'Depth': -4.122147477075268, 'DetB': 0, 'DetBb': 0}",12.200000000000001,5.226423163382673,-4.122147477075268,0,0
62,position&bloom,EdgeFussion,2021-08-01 01:02:00,"{'Lat': 12.4, 'Lon': 10.395584540887965, 'Depth': -0.48943483704846535, 'DetB': 0, 'DetBb': 0}",12.4,10.395584540887965,-0.48943483704846535,0,0
63,position&bloom,EdgeFussion,2021-08-01 01:03:00,"{'Lat': 12.600000000000001, 'Lon': 15.450849718747369, 'Depth': -0.4894348370484636, 'DetB': 0, 'DetBb': 0}",12.600000000000001,15.450849718747369,-0.4894348370484636,0,0
64,position&bloom,EdgeFussion,2021-08-01 01:04:00,"{'Lat': 12.8, 'Lon': 20.336832153790006, 'Depth': -4.122147477075267, 'DetB': 0, 'DetBb': 0}",12.8,20.336832153790006,-4.122147477075267,0,0
65,position&bloom,EdgeFussion,2021-08-01 01:05:00,"{'Lat': 13.0, 'Lon': 24.999999999999996, 'Depth': -9.999999999999998, 'DetB': 0, 'DetBb': 0}",13.0,24.999999999999996,-9.999999999999998,0,0
